File Column Name,Field Type,Entity Type,CDE ID,CDE Version,Annotation Def Name,Data Type,Permissible,Visible
Subject,identifier,subject,,,Subject,string,no,yes
Age Range,annotation,subject,,,Age Range,string,yes,yes
Gender,annotation,subject,,,Gender,string,no,yes
Survival,annotation,subject,,,Survival,string,yes,yes
Disease,annotation,subject,,,Disease,string,yes,yes
Grade,annotation,subject,,,Grade,string,yes,yes
Race,annotation,subject,,,Race,string,yes,yes
Institution,annotation,subject,,,Institution,string,yes,yes
Karnofsky,annotation,subject,,,Karnofsky,numeric,yes,yes
Followup Month,annotation,subject,,, Followup Month,numeric,no,yes
Prior Therapy Radiation Fraction Dose,annotation,subject,,, Prior Therapy Radiation Fraction Dose,string,yes,yes
Prior Therapy Radiation Fraction Number,annotation,subject,,, Prior Therapy Radiation Fraction Number,string,yes,yes
Prior Therapy Radiation Type,annotation,subject,,, Prior Therapy Radiation Type,string,yes,yes
Prior Therapy Chemo Agent Name,annotation,subject,,, Prior Therapy Chemo Agent Name,string,yes,yes
Prior Therapy Chemo Course Count,annotation,subject,,, Prior Therapy Chemo Course Count,string,yes,yes
 Prior Therapy Surgery Procedure Title,annotation,subject,,, Prior Therapy Surgery Procedure Title,string,yes,yes
Prior Therapy Surgery Tumor Histology,annotation,subject,,, Prior Therapy Surgery Tumor Histology,string,yes,yes
Prior Therapy Surgery Outcome,annotation,subject,,, Prior Therapy Surgery Outcome,string,yes,yes
Survival Start Date,annotation,subject,,,Survival Start Date,date,no,yes
Death Date,annotation,subject,,,Death Date,date,no,yes
Last Followup Date,annotation,subject,,,Last Followup Date,date,no,yes
