TCGA-02-0001,TCGA-02-0001-01C
TCGA-02-0003,TCGA-02-0003-01A
TCGA-02-0004,TCGA-02-0004-01A
TCGA-02-0006,TCGA-02-0006-01B
TCGA-02-0007,TCGA-02-0007-01A
TCGA-02-0009,TCGA-02-0009-01A
TCGA-02-0010,TCGA-02-0010-01A
TCGA-02-0011,TCGA-02-0011-01B
TCGA-02-0014,TCGA-02-0014-01A
TCGA-02-0015,TCGA-02-0015-01A
TCGA-02-0016,TCGA-02-0016-01A
TCGA-02-0021,TCGA-02-0021-01A
TCGA-02-0023,TCGA-02-0023-01B
TCGA-02-0024,TCGA-02-0024-01B
TCGA-02-0025,TCGA-02-0025-01A
TCGA-02-0026,TCGA-02-0026-01B
TCGA-02-0027,TCGA-02-0027-01A
TCGA-02-0028,TCGA-02-0028-01A
TCGA-02-0033,TCGA-02-0033-01A
TCGA-02-0034,TCGA-02-0034-01A
TCGA-02-0037,TCGA-02-0037-01A
TCGA-02-0038,TCGA-02-0038-01A
TCGA-02-0039,TCGA-02-0039-01A
TCGA-02-0043,TCGA-02-0043-01A
TCGA-02-0046,TCGA-02-0046-01A
TCGA-02-0047,TCGA-02-0047-01A
TCGA-02-0048,TCGA-02-0048-01A
TCGA-02-0051,TCGA-02-0051-01A
TCGA-02-0052,TCGA-02-0052-01A
TCGA-02-0054,TCGA-02-0054-01A
TCGA-02-0055,TCGA-02-0055-01A
TCGA-02-0057,TCGA-02-0057-01A
TCGA-02-0058,TCGA-02-0058-01A
TCGA-02-0059,TCGA-02-0059-01A
TCGA-02-0060,TCGA-02-0060-01A
TCGA-02-0064,TCGA-02-0064-01A
TCGA-02-0068,TCGA-02-0068-01A
TCGA-02-0069,TCGA-02-0069-01A
TCGA-02-0070,TCGA-02-0070-01A
TCGA-02-0071,TCGA-02-0071-01A
TCGA-02-0074,TCGA-02-0074-01A
TCGA-02-0075,TCGA-02-0075-01A
TCGA-02-0079,TCGA-02-0079-01A
TCGA-02-0080,TCGA-02-0080-01A
TCGA-02-0083,TCGA-02-0083-01A
TCGA-02-0084,TCGA-02-0084-01A
TCGA-02-0085,TCGA-02-0085-01A
TCGA-02-0086,TCGA-02-0086-01A
TCGA-02-0087,TCGA-02-0087-01A
TCGA-02-0089,TCGA-02-0089-01A
TCGA-02-0099,TCGA-02-0099-01A
TCGA-02-0102,TCGA-02-0102-01A
TCGA-02-0104,TCGA-02-0104-01A
TCGA-02-0106,TCGA-02-0106-01A
TCGA-02-0107,TCGA-02-0107-01A
TCGA-02-0111,TCGA-02-0111-01A
TCGA-02-0113,TCGA-02-0113-01A
TCGA-02-0114,TCGA-02-0114-01A
TCGA-02-0115,TCGA-02-0115-01A
TCGA-02-0260,TCGA-02-0260-01A
TCGA-02-0266,TCGA-02-0266-01A
TCGA-02-0269,TCGA-02-0269-01B
TCGA-02-0271,TCGA-02-0271-01A
TCGA-02-0281,TCGA-02-0281-01A
TCGA-02-0285,TCGA-02-0285-01A
TCGA-02-0289,TCGA-02-0289-01A
TCGA-02-0290,TCGA-02-0290-01A
TCGA-02-0317,TCGA-02-0317-01A
TCGA-02-0321,TCGA-02-0321-01A
TCGA-02-0325,TCGA-02-0325-01A
TCGA-02-0326,TCGA-02-0326-01A
TCGA-02-0330,TCGA-02-0330-01A
TCGA-02-0332,TCGA-02-0332-01A
TCGA-02-0333,TCGA-02-0333-01A
TCGA-02-0337,TCGA-02-0337-01A
TCGA-02-0338,TCGA-02-0338-01A
TCGA-02-0339,TCGA-02-0339-01A
TCGA-02-0422,TCGA-02-0422-01A
TCGA-02-0430,TCGA-02-0430-01A
TCGA-02-0432,TCGA-02-0432-01A
TCGA-02-0439,TCGA-02-0439-01A
TCGA-02-0440,TCGA-02-0440-01A
TCGA-02-0446,TCGA-02-0446-01A
TCGA-02-0451,TCGA-02-0451-01A
TCGA-06-0122,TCGA-06-0122-01A
TCGA-06-0124,TCGA-06-0124-01A
TCGA-06-0125,TCGA-06-0125-01A
TCGA-06-0126,TCGA-06-0126-01A
TCGA-06-0127,TCGA-06-0127-01A
TCGA-06-0128,TCGA-06-0128-01A
TCGA-06-0129,TCGA-06-0129-01A
TCGA-06-0130,TCGA-06-0130-01A
TCGA-06-0132,TCGA-06-0132-01A
TCGA-06-0133,TCGA-06-0133-01A
TCGA-06-0137,TCGA-06-0137-01A
TCGA-06-0137,TCGA-06-0137-01B
TCGA-06-0138,TCGA-06-0138-01A
TCGA-06-0139,TCGA-06-0139-01A
TCGA-06-0143,TCGA-06-0143-01A
TCGA-06-0145,TCGA-06-0145-01A
TCGA-06-0146,TCGA-06-0146-01A
TCGA-06-0147,TCGA-06-0147-01A
TCGA-06-0148,TCGA-06-0148-01A
TCGA-06-0149,TCGA-06-0149-01A
TCGA-06-0152,TCGA-06-0152-01A
TCGA-06-0154,TCGA-06-0154-01A
TCGA-06-0156,TCGA-06-0156-01A
TCGA-06-0157,TCGA-06-0157-01A
